date,Rank,Company Name,% of Net Assets,Ticker,Identifier,Type,Shares Held,Market Value($),Notional Value($)
12_03_2021,3,EURO,0.24,–,–,Currency,9735,10981,0
12_03_2021,4,ECX EMISSION      DEC22,0,MOZ22,–,Future,51,0,4524027
12_03_2021,5,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3676888
12_06_2021,1,Cash,77.92,–,–,Cash,3618505,3618505,0
12_06_2021,2,EURO,21.84,–,–,Currency,899808,1014131,0
12_06_2021,3,EURO,0.24,–,–,Currency,9735,10972,0
12_06_2021,4,ECX EMISSION      DEC22,0,MOZ22,–,Future,51,0,4693216
12_06_2021,5,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3666163
12_07_2021,1,Cash,87.29,–,–,Cash,8478919,8478919,0
12_07_2021,2,EURO,12.6,–,–,Currency,1087998,1223666,0
12_07_2021,3,EURO,0.11,–,–,Currency,9735,10949,0
12_07_2021,4,ECX EMISSION      DEC22,0,MOZ22,–,Future,99,0,9502165
12_07_2021,5,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3660313
12_08_2021,1,EURO,46.44,–,–,Currency,4188397,4746489,0
12_08_2021,2,Cash,37.47,–,–,Cash,3829676,3829676,0
12_08_2021,3,EURO,16.09,–,–,Currency,1451340,1644727,0
12_08_2021,4,ECX EMISSION      DEC22,0,MOZ22,–,Future,99,0,10031040
12_08_2021,5,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3689075
12_09_2021,1,EURO,51.26,–,–,Currency,4188397,4726830,0
12_09_2021,2,Cash,41.06,–,–,Cash,3786478,3786478,0
12_09_2021,3,EURO,7.67,–,–,Currency,626846,707429,0
12_09_2021,4,ECX EMISSION      DEC22,0,MOZ22,–,Future,99,0,9036464
12_09_2021,5,EURO FX CURR FUT  DEC21,0,ECZ1,–,Future,26,0,3668763
12_10_2021,1,EURO,49.18,–,–,Currency,4188397,4734791,0
12_10_2021,2,Cash,29.48,–,–,Cash,2837932,2837932,0
12_10_2021,3,EURO,21.34,–,–,Currency,1816826,2053839,0
12_10_2021,4,ECX EMISSION      DEC22,0,MOZ22,–,Future,99,0,9442268
12_10_2021,5,EURO FX CURR FUT  MAR22,0,ECH2,–,Future,26,0,3685013
12_13_2021,1,EURO,50.12,–,–,Currency,4188397,4722619,0
12_13_2021,2,Cash,40.2,–,–,Cash,3787744,3787744,0
12_13_2021,3,EURO,9.68,–,–,Currency,809006,912193,0
12_13_2021,4,ECX EMISSION      DEC22,0,MOZ22,–,Future,99,0,9233808
12_13_2021,5,EURO FX CURR FUT  MAR22,0,ECH2,–,Future,26,0,3677700
12_14_2021,1,EURO,51.77,–,–,Currency,4188397,4721767,0
12_14_2021,2,Cash,41.41,–,–,Cash,3776979,3776979,0
12_14_2021,3,EURO,6.82,–,–,Currency,551606,621850,0
12_14_2021,4,ECX EMISSION      DEC22,0,MOZ22,–,Future,99,0,8941964
12_14_2021,5,EURO FX CURR FUT  MAR22,0,ECH2,–,Future,26,0,3667138
12_15_2021,1,Cash,49.41,–,–,Cash,5326168,5326168,0
12_15_2021,2,EURO,43.72,–,–,Currency,4188397,4712576,0
12_15_2021,3,EURO,6.86,–,–,Currency,657536,739827,0
12_15_2021,4,ECX EMISSION      DEC22,0,MOZ22,–,Future,117,0,10688063
12_15_2021,5,EURO FX CURR FUT  MAR22,0,ECH2,–,Future,26,0,3671850
12_16_2021,1,EURO,48.12,–,–,Currency,5565856,6293298,0
12_16_2021,2,Cash,41.47,–,–,Cash,5423397,5423397,0
12_16_2021,3,EURO,10.41,–,–,Currency,1204136,1361513,0
12_16_2021,4,ECX EMISSION      DEC22,0,MOZ22,–,Future,133,0,12889305
12_16_2021,5,EURO FX CURR FUT  MAR22,0,ECH2,–,Future,26,0,3688913
12_17_2021,1,EURO,69.8,–,–,Currency,6980880,7870569,0
12_17_2021,2,Cash,33.77,–,–,Cash,3808066,3808066,0
12_17_2021,3,ECX EMISSION      DEC22,0,MOZ22,–,Future,133,0,11099328
12_17_2021,4,EURO FX CURR FUT  MAR22,0,ECH2,–,Future,26,0,3665025
12_17_2021,5,EURO,-3.57,–,–,Currency,-357475,-403033,0
12_20_2021,1,EURO,64.57,–,–,Currency,6980880,7881054,0
12_20_2021,2,Cash,24.65,–,–,Cash,3009199,3009199,0
12_20_2021,3,EURO,10.78,–,–,Currency,1165710,1316027,0
12_20_2021,4,ECX EMISSION      DEC22,0,MOZ22,–,Future,133,0,12025526
12_20_2021,5,EURO FX CURR FUT  MAR22,0,ECH2,–,Future,26,0,3671688
12_21_2021,1,EURO,60.08,–,–,Currency,6980880,7862236,0
12_21_2021,2,Cash,35.09,–,–,Cash,4591748,4591748,0
12_21_2021,3,EURO,4.84,–,–,Currency,561960,632909,0
12_21_2021,4,ECX EMISSION      DEC22,0,MOZ22,–,Future,142,0,12944566
12_21_2021,5,EURO FX CURR FUT  MAR22,0,ECH2,–,Future,26,0,3673313
12_22_2021,1,EURO,69.61,–,–,Currency,7691128,8709041,0
12_22_2021,2,Cash,30.3,–,–,Cash,3790632,3790632,0
12_22_2021,3,EURO,0.09,–,–,Currency,9460,10712,0
12_22_2021,4,ECX EMISSION      DEC22,0,MOZ22,–,Future,142,0,12353768
12_22_2021,5,EURO FX CURR FUT  MAR22,0,ECH2,–,Future,26,0,3690050
12_23_2021,1,EURO,71.77,–,–,Currency,"7,691,128","8,697,518",0
12_23_2021,2,Cash,31.29,–,–,Cash,"3,791,501","3,791,501",0
12_23_2021,3,ECX EMISSION      DEC22,0.0,MOZ22,–,Future,142,0,"11,956,847"
12_23_2021,4,EURO FX CURR FUT  MAR22,0.0,ECH2,–,Future,26,0,"3,691,188"
12_23_2021,5,EURO,-3.05,–,–,Currency,"-327,080","-369,879",0
12_27_2021,1,EURO,69.55,–,–,Currency,"7,691,128","8,705,591",0
12_27_2021,2,Cash,28.01,–,–,Cash,"3,506,481","3,506,481",0
12_27_2021,3,EURO,2.44,–,–,Currency,"269,414","304,950",0
12_27_2021,4,ECX EMISSION      DEC22,0.0,MOZ22,–,Future,142,0,"12,363,340"
12_27_2021,5,EURO FX CURR FUT  MAR22,0.0,ECH2,–,Future,26,0,"3,687,288"
12_28_2021,1,EURO,67.5,–,–,Currency,"7,691,128","8,688,283",0
12_28_2021,2,Cash,29.49,–,–,Cash,"3,796,084","3,796,084",0
12_28_2021,3,EURO,3.01,–,–,Currency,"343,254","387,757",0
12_28_2021,4,ECX EMISSION      DEC22,0.0,MOZ22,–,Future,142,0,"12,718,932"
12_28_2021,5,EURO FX CURR FUT  MAR22,0.0,ECH2,–,Future,26,0,"3,679,650"
12_29_2021,1,EURO,66.63,–,–,Currency,"7,691,128","8,729,800",0
12_29_2021,2,Cash,29.08,–,–,Cash,"3,809,133","3,809,133",0
12_29_2021,3,EURO,4.29,–,–,Currency,"495,194","562,069",0
12_29_2021,4,ECX EMISSION      DEC22,0.0,MOZ22,–,Future,142,0,"12,952,169"
12_29_2021,5,EURO FX CURR FUT  MAR22,0.0,ECH2,–,Future,26,0,"3,692,975"
12_30_2021,1,Cash,94.29,–,–,Cash,"12,314,581","12,314,581",0
12_30_2021,2,EURO,4.05,–,–,Currency,"466,794","528,927",0
12_30_2021,3,EURO,1.66,–,–,Currency,"191,128","216,569",0
12_30_2021,4,ECX EMISSION      DEC22,0.0,MOZ22,–,Future,142,0,"12,897,828"
12_30_2021,5,EURO FX CURR FUT  MAR22,0.0,ECH2,–,Future,26,0,"3,687,125"
